"","ID","TotID","Year","Plot","SPP","Status","RWI.x","gini.x","PmET.x","CMD.x","tCWD.x","mTMX.x","mTMN.x","tPPT.x","TerraDEF.x","TerraPDSI.x","cindex.x","mHSF.x","sdHSF.x","mLumenLength.x","sdLumenLength.x","mdblwall.x","sddblwall.x","mHSFsl.x","sdHSFsl.x","c(TotID)","RWI","gini","PmET","CMD","tCWD","mTMX","mTMN","tPPT","TerraDEF","TerraPDSI","cindex","mHSF","sdHSF","mLumenLength","sdLumenLength","mdblwall","sddblwall","mHSFsl","sdHSFsl","RWI.x1","gini.x1","PmET.x1","CMD.x1","tCWD.x1","mTMX.x1","mTMN.x1","tPPT.x1","TerraDEF.x1","TerraPDSI.x1","cindex.x1","mHSF.x1","sdHSF.x1","mLumenLength.x1","sdLumenLength.x1","RWI.x2","gini.x2","PmET.x2","CMD.x2","tCWD.x2","mTMX.x2","mTMN.x2","tPPT.x2","TerraDEF.x2","TerraPDSI.x2","cindex.x2","mHSF.x2","sdHSF.x2","mLumenLength.x2","sdLumenLength.x2","RWIDEF","RWIDEF1","RWIPET","RWIPET1","RWICWD","RWICWD1","RWICMD","RWICMD1","RWIPDSI","RWIPDSI1","RWITMN","RWITMN1","mHSFDEF","mHSFDEF1","mHSFPET","mHSFPET1","mHSFCWD","mHSFCWD1","mHSFCMD","mHSFCMD1","mHSFPDSI","mHSFPDSI1","mHSFTMN","mHSFTMN1","HSFgini"
"RP1001","RP1001",4556,2017,"RP1","PIPO",0,0.719475670298032,0.244,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.719475670298032,0.244,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,0.719475670298032,0.244,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1002","RP1002",4557,2017,"RP1","PIPO",0,0.153275726073356,0.316,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,2.027907854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153275726073356,0.316,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,2.027907854,NA,NA,NA,NA,0.153275726073356,0.316,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,2.027907854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1003","RP1003",4558,2017,"RP1","PIPO",0,0.981968843355301,0.296,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.764881656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981968843355301,0.296,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.764881656,NA,NA,NA,NA,0.981968843355301,0.296,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.764881656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1005","RP1005",4559,2017,"RP1","PIPO",0,0.840364775664226,0.303,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,2.474067257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.840364775664226,0.303,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,2.474067257,NA,NA,NA,NA,0.840364775664226,0.303,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,2.474067257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1006","RP1006",4560,2017,"RP1","PIPO",0,0.79244621215611,0.29,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.855552614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79244621215611,0.29,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.855552614,NA,NA,NA,NA,0.79244621215611,0.29,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.855552614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1007","RP1007",4561,2017,"RP1","PIPO",0,1.02504516884055,0.169,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.215633503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02504516884055,0.169,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.215633503,NA,NA,NA,NA,1.02504516884055,0.169,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.215633503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1008","RP1008",4562,2017,"RP1","PIPO",0,0.63917502862499,0.178,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63917502862499,0.178,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,0.63917502862499,0.178,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1009","RP1009",4563,2017,"RP1","PIPO",0,1.04398308634321,0.3005,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.165845671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04398308634321,0.3005,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.165845671,NA,NA,NA,NA,1.04398308634321,0.3005,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.165845671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1024","RP1024",4564,2017,"RP1","PIPO",0,0.766936326124898,0.46,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,5.640036511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766936326124898,0.46,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,5.640036511,NA,NA,NA,NA,0.766936326124898,0.46,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,5.640036511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"RP1025","RP1025",4565,2017,"RP1","PIPO",0,0.711447963842011,0.16,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,3.193466674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711447963842011,0.16,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,3.193466674,NA,NA,NA,NA,0.711447963842011,0.16,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,3.193466674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
