"","ID","Year","Plot","SPP","Status","RWI","gini","CMD","tCWD","mTMN","tPPT","PmET","TerraDEF","TerraPDSI","mHSF","sdHSF","mLumenLength","sdLumenLength","mdblwall","sddblwall","mHSFsl","sdHSFsl","LastDBH","cindex","RWI1","gini1","CMD1","tCWD1","mTMN1","tPPT1","PmET1","TerraDEF1","TerraPDSI1","mHSF1","sdHSF1","mLumenLength1","sdLumenLength1","mdblwall1","sddblwall1","mHSFsl1","sdHSFsl1","RWI2","gini2","CMD2","tCWD2","mTMN2","tPPT2","PmET2","TerraDEF2","TerraPDSI2","mHSF2","sdHSF2","mLumenLength2","sdLumenLength2","mdblwall2","sddblwall2","mHSFsl2","sdHSFsl2","RWIDEF","RWIDEF1","RWICWD","RWICWD1","RWIPET","RWIPET1","RWICMD","RWICMD1","RWIPDSI","RWIPDSI1","RWITMN","RWITMN1","mHSFDEF","mHSFDEF1","mHSFCWD","mHSFCWD1","mHSFPET","mHSFPET1","mHSFCMD","mHSFCMD1","mHSFPDSI","mHSFPDSI1","mHSFTMN","mHSFTMN1","HSFgini"
"1","RJP001",2017,"RJP","PIJE",0,1.05313300136129,0.146,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.273341264975075,0.471291282529423,5.67895015313936,2.7568211332386,3.04426135265701,0.494460193207367,653.974894362137,370.193312844811,49.4,2.05126801916141,1.05313300136129,0.146,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.273341264975075,0.471291282529423,5.67895015313936,2.7568211332386,3.04426135265701,0.494460193207367,653.974894362137,370.193312844811,1.05313300136129,0.146,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.273341264975075,0.471291282529423,5.67895015313936,2.7568211332386,3.04426135265701,0.494460193207367,653.974894362137,370.193312844811,-0.0933076202527454,NA,-0.328104727513208,NA,-0.0274251710593489,NA,-0.105992115045768,NA,0.0914892030802218,NA,0.0436831813077532,NA,0.153293730569589,NA,0.0905822173800978,NA,-0.0135630072598638,NA,0.179316701730771,NA,-0.081521689772349,NA,-0.0727806987015513,NA,0.085
"2","RJP017",2017,"RJP","PIJE",0,1.01986385587213,0.154,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.257631424337652,0.453959480600092,31.5346731133429,9.87783890192869,10.7896601890756,6.03168612797419,10123.6425045867,7852.43485194811,32.7,18.232461266775,1.01986385587213,0.154,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.257631424337652,0.453959480600092,31.5346731133429,9.87783890192869,10.7896601890756,6.03168612797419,10123.6425045867,7852.43485194811,1.01986385587213,0.154,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.257631424337652,0.453959480600092,31.5346731133429,9.87783890192869,10.7896601890756,6.03168612797419,10123.6425045867,7852.43485194811,0.189914758553242,0.189914758553242,-0.0600750285895376,-0.0600750285895376,-0.155533590740049,-0.155533590740049,0.114591919696906,0.114591919696906,0.136207569212805,0.136207569212805,0.0548461029374721,0.0548461029374721,0.0709516994754247,0.0709516994754247,0.153407928741154,0.153407928741154,-0.103375818515683,-0.103375818515683,-0.239415459267582,-0.239415459267582,-0.0544853604229882,-0.0544853604229882,-0.0802622418012426,-0.0802622418012426,0
"3","RJP043",2017,"RJP","PIJE",0,1.22789028583995,0.249,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.784000871568209,1.55318267512005,8.28982229601518,5.29652056837996,14.6917425559947,7.83841656452143,4580.6239999656,2626.14795339821,40.2,8.8103729691149,1.22789028583995,0.249,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.784000871568209,1.55318267512005,8.28982229601518,5.29652056837996,14.6917425559947,7.83841656452143,4580.6239999656,2626.14795339821,1.22789028583995,0.249,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.784000871568209,1.55318267512005,8.28982229601518,5.29652056837996,14.6917425559947,7.83841656452143,4580.6239999656,2626.14795339821,-0.206456618616279,-0.206456618616279,-0.288790591223924,-0.288790591223924,0.164574122235489,0.164574122235489,-0.16500755216657,-0.16500755216657,0.14399516415613,0.14399516415613,0.0556464892246333,0.0556464892246333,-0.145924209034062,-0.145924209034062,0.0973856080349425,0.0973856080349425,0.162179722154374,0.162179722154374,0.198724800331657,0.198724800331657,0.150062436720676,0.150062436720676,0.0587517964224513,0.0587517964224513,0
"4","RJP044",2017,"RJP","PIJE",0,0.973518319580753,0.203,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.314398743055274,0.561775799132895,24.5385918699187,12.8164602143072,9.99207007223942,12.1463490331095,7539.06647416511,9057.95534284907,40.6,8.834464248477,0.973518319580753,0.203,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.314398743055274,0.561775799132895,24.5385918699187,12.8164602143072,9.99207007223942,12.1463490331095,7539.06647416511,9057.95534284907,0.973518319580753,0.203,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.314398743055274,0.561775799132895,24.5385918699187,12.8164602143072,9.99207007223942,12.1463490331095,7539.06647416511,9057.95534284907,-0.096867412063008,-0.096867412063008,-0.0834369411759174,-0.0834369411759174,0.170186919880177,0.170186919880177,-0.110007041826303,-0.110007041826303,0.101481097364216,0.101481097364216,-0.00541131055121124,-0.00541131055121124,-0.00461552104958779,-0.00461552104958779,0.0250842618679511,0.0250842618679511,-0.0464811508595338,-0.0464811508595338,-0.0749290858571781,-0.0749290858571781,-0.223458328728894,-0.223458328728894,-0.119104188230466,-0.119104188230466,0
"5","RJP045",2017,"RJP","PILA",0,1.02993386150644,0.226,588,457.6,9.63,0.37,-194.29236,555.9,54.84,1.64873942012237,9.27125046782843,26.5539778210117,14.2680356009047,13.0000293069307,17.7869924157771,3427.63980712699,4620.4702071004,32.7,18.232461266775,1.02993386150644,0.226,588,457.6,9.63,0.37,-194.29236,555.9,54.84,1.64873942012237,9.27125046782843,26.5539778210117,14.2680356009047,13.0000293069307,17.7869924157771,3427.63980712699,4620.4702071004,1.02993386150644,0.226,588,457.6,9.63,0.37,-194.29236,555.9,54.84,1.64873942012237,9.27125046782843,26.5539778210117,14.2680356009047,13.0000293069307,17.7869924157771,3427.63980712699,4620.4702071004,0.325794607496071,0.325794607496071,0.239304705913597,0.239304705913597,-0.245495362693878,-0.245495362693878,0.184615472705437,0.184615472705437,-0.24466306111739,-0.24466306111739,0.142741963340863,0.142741963340863,-0.0816834609395678,-0.0816834609395678,0.133247164600862,0.133247164600862,-0.265460853650015,-0.265460853650015,-0.0401295912300256,-0.0401295912300256,0.00275166949570683,0.00275166949570683,0.158152808292127,0.158152808292127,0.226
"6","RJP932",2017,"RJP","PIJE",0,1.19954975442348,0.249,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.243650716619777,0.133788356673068,36.7309456228956,11.2397801014413,9.96818642895157,2.79948119164236,9084.10294265148,8264.85767619277,32.7,18.232461266775,1.19954975442348,0.249,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.243650716619777,0.133788356673068,36.7309456228956,11.2397801014413,9.96818642895157,2.79948119164236,9084.10294265148,8264.85767619277,1.19954975442348,0.249,588,457.6,9.63,0.37,-168.568176,555.9,54.84,0.243650716619777,0.133788356673068,36.7309456228956,11.2397801014413,9.96818642895157,2.79948119164236,9084.10294265148,8264.85767619277,-8.94656438035472e-05,-8.94656438035472e-05,-0.127829072716817,-0.127829072716817,-0.27124597627038,-0.27124597627038,0.0775736067374014,0.0775736067374014,-0.0287008389158681,-0.0287008389158681,0.0815627091937234,0.0815627091937234,0.151497905647694,0.151497905647694,0.180987776280009,0.180987776280009,-0.177437539997507,-0.177437539997507,0.117181511291698,0.117181511291698,-0.168149632324523,-0.168149632324523,-0.0736276166614861,-0.0736276166614861,0.216
"7","RJP933",2017,"RJP","PIJE",0,1.05829817247295,0.275,588,457.6,9.63,0.37,-194.29236,555.9,54.84,1.85815414870758,7.25909404884881,4.72886434108527,1.95077622444525,9.78028980707037,20.4570279499574,1127.34400892506,1960.35214780291,16.4,5.75189372538129,1.05829817247295,0.275,588,457.6,9.63,0.37,-194.29236,555.9,54.84,1.85815414870758,7.25909404884881,4.72886434108527,1.95077622444525,9.78028980707037,20.4570279499574,1127.34400892506,1960.35214780291,1.05829817247295,0.275,588,457.6,9.63,0.37,-194.29236,555.9,54.84,1.85815414870758,7.25909404884881,4.72886434108527,1.95077622444525,9.78028980707037,20.4570279499574,1127.34400892506,1960.35214780291,-0.123774920097288,-0.123774920097288,-0.100096897999358,-0.100096897999358,0.177641674766891,0.177641674766891,0.0575445051360158,0.0575445051360158,-0.0115193095657832,-0.0115193095657832,-0.115865273198828,-0.115865273198828,0.151308023511454,0.151308023511454,-0.112955409887033,-0.112955409887033,-0.227417212028221,-0.227417212028221,0.0786344300906953,0.0786344300906953,-0.145196041704992,-0.145196041704992,0.205344783908756,0.205344783908756,0
"8","RJP935",2017,"RJP","PIJE",0,0.862521303970952,0.218,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.412651414972116,0.408475691177041,8.73815313901345,3.8779993735062,10.7710217948718,7.68796874656753,1175.40526039417,1251.46514027458,39.4,8.67129812142285,0.862521303970952,0.218,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.412651414972116,0.408475691177041,8.73815313901345,3.8779993735062,10.7710217948718,7.68796874656753,1175.40526039417,1251.46514027458,0.862521303970952,0.218,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.412651414972116,0.408475691177041,8.73815313901345,3.8779993735062,10.7710217948718,7.68796874656753,1175.40526039417,1251.46514027458,-0.0102557679567932,-0.0102557679567932,-0.24839179725335,-0.24839179725335,0.0239290837866776,0.0239290837866776,-0.0214252868140605,-0.0214252868140605,-0.0852442705773893,-0.0852442705773893,-0.253552920648384,-0.253552920648384,-0.00778782740478266,-0.00778782740478266,0.0764299900020646,0.0764299900020646,0.100978248518482,0.100978248518482,0.221597017206575,0.221597017206575,0.0283222563599544,0.0283222563599544,-0.194825722103556,-0.194825722103556,0.097
"9","RJPOP1",2017,"RJP","PIJE",0,1.18048473375696,0.156,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.912266692145441,1.15848351133013,25.2254201984822,15.4625547089515,14.6441120229008,8.13632322665556,5342.11438028706,5081.96702327637,33.3,18.232461266775,1.18048473375696,0.156,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.912266692145441,1.15848351133013,25.2254201984822,15.4625547089515,14.6441120229008,8.13632322665556,5342.11438028706,5081.96702327637,1.18048473375696,0.156,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.912266692145441,1.15848351133013,25.2254201984822,15.4625547089515,14.6441120229008,8.13632322665556,5342.11438028706,5081.96702327637,-0.114967116268407,-0.114967116268407,-0.154957282985115,-0.154957282985115,0.00529563235891796,0.00529563235891796,-0.184758246318711,-0.184758246318711,0.234840179128,0.234840179128,0.24933481728429,0.24933481728429,-0.0750766048042509,-0.0750766048042509,-0.120427652176721,-0.120427652176721,-0.00977701891616755,-0.00977701891616755,0.139667066251769,0.139667066251769,-0.0787772912719772,-0.0787772912719772,-0.0322957284747268,-0.0322957284747268,0
"10","RJPOP2",2017,"RJP","PIJE",0,0.477126610089959,0.213,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.807841643046818,1.15848351133013,5.58676015325671,3.16350264027931,6.47025424528302,7.6511183106528,251.713212221538,184.44320987185,72.1,4.49362201193336,0.477126610089959,0.213,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.807841643046818,1.15848351133013,5.58676015325671,3.16350264027931,6.47025424528302,7.6511183106528,251.713212221538,184.44320987185,0.477126610089959,0.213,588,457.6,9.63,0.37,-194.29236,555.9,54.84,0.807841643046818,1.15848351133013,5.58676015325671,3.16350264027931,6.47025424528302,7.6511183106528,251.713212221538,184.44320987185,0.11951568466309,0.11951568466309,-0.0579698568496309,-0.0579698568496309,-0.231558142944049,-0.231558142944049,-0.00507263991230628,-0.00507263991230628,-0.122888997616761,-0.122888997616761,-0.218906502792253,-0.218906502792253,0.139717123140113,0.139717123140113,0.225737717531237,0.225737717531237,-0.143677853265487,-0.143677853265487,0.161285884791752,0.161285884791752,-0.196818538878531,-0.196818538878531,-0.0899228923204396,-0.0899228923204396,0.156
