,FullID,Year,avg.HSF,max.HSF,min.HSF,sd.HSF,se.HSF,avg.Lum,max.Lum,min.Lum,sd.Lum,se.Lum,avg.dblwall,max.dblwall,min.dblwall,sd.dblwall,se.dblwall
109,SJP 093 2004,2004,0.272164728,1.538464868,0.017858643,0.214353736,0.005619524,29.25698674,63.5386,4.8876,11.84485466,0.310526193,12.50852708,39.5895,0.9776,6.10396045,0.160022192
110,SJP 093 2005,2005,0.249294054,3.875063939,0.016668088,0.288792273,0.006253025,30.00010474,82.1114,0.9775,13.86684406,0.300249439,11.87319447,39.5894,0.9776,8.283060743,0.179347538
111,SJP 093 2006,2006,0.246859813,9.750153453,0.017242839,0.399492904,0.007925136,30.41190063,77.2239,0.9775,15.70155388,0.311487269,9.427982802,39.5895,0.9776,5.54650162,0.110031444
112,SJP 093 2007,2007,0.291747187,3.250076726,0.017857447,0.321047805,0.009697604,22.077974,56.696,0.9775,12.82497936,0.387392669,9.339041515,39.1007,0.9776,6.176619936,0.186571628
113,SJP 093 2008,2008,0.260834955,5.000076726,0.017242839,0.287061327,0.0053715,26.92416183,72.3363,0.9775,11.93022946,0.223238808,10.78966019,39.5895,0.9776,6.148979814,0.115059893
114,SJP 118 2003,2003,0.677757377,10.0622239,0.024997845,1.275659228,0.082862971,6.060876793,15.3132,0.232,3.366383883,0.218670131,4.084803797,26.5662,0.232,4.481693707,0.29111729
115,SJP 118 2011,2011,0.68448893,12.03592759,0.024997845,1.306074662,0.078902856,6.283133942,15.5452,0.464,3.566833343,0.215480283,5.028196715,39.0951,0.232,7.886277208,0.47642743
116,SJP 118 2012,2012,0.392153717,3.24991919,0.022725492,0.609057555,0.058071359,4.359849091,8.5847,0.232,2.287838445,0.218136837,1.656822727,6.7286,0.232,1.057567005,0.100835057
117,SJP 118 2013,2013,0.503902701,3.916463152,0.01851704,0.679488719,0.054933407,3.936731373,10.9049,0.232,2.595060298,0.20979819,1.985044444,7.0766,0.232,1.33852437,0.108213282
118,SJP 118 2014,2014,0.606454123,6.750431034,0.027024823,1.025271183,0.057951754,5.8219623,13.4571,0.232,3.385035914,0.191333542,2.898014058,19.3735,0.232,2.320067179,0.13113795
119,SJP 118 2015,2015,0.745715615,14.91574486,0.02127484,1.61606748,0.084704952,6.945899725,19.9536,0.232,3.955477847,0.207323372,3.951330769,31.3225,0.232,4.27120377,0.223871907
120,SJP 201 2011,2011,0.803726861,13.81208921,0.02127484,1.544603131,0.037093035,7.080582814,18.3295,0.232,4.011897245,0.096344129,4.630338639,39.7912,0.232,4.92008541,0.118153909
121,SJP 201 2012,2012,0.575079453,13.50107759,0.01851704,1.371026376,0.030999978,8.484337117,20.1856,0.232,4.087978867,0.092432397,3.484730061,37.9351,0.232,3.643153229,0.082374542
122,SJP 201 2013,2013,0.624696204,14.99906623,0.01723997,1.343784048,0.028185761,7.975091377,25.7541,0.232,4.488671747,0.094149524,3.230041443,38.6311,0.232,3.441403588,0.07218316
123,SJP 201 2014,2014,0.728082236,14.74903031,0.017044119,1.654675299,0.036099381,8.220150881,23.2019,0.232,5.296520568,0.115552045,3.231145788,39.4431,0.232,4.112837842,0.089728118
124,SJP 201 2015,2015,0.899827126,14.74959595,0.017044119,1.841555922,0.038365748,7.059649132,25.058,0.232,5.114436174,0.106550754,3.883032335,38.7471,0.232,5.062592322,0.105470673
125,SJP 69A 2016,2016,0.851254523,3.374997869,0.227270825,0.540006163,0.029908175,14.84566994,33.2356,4.8876,5.203586805,0.288200018,21.3854316,39.5894,9.7751,8.191443392,0.453682089
126,SJP 081 1999,1999,0.791468927,8.41670857,0.038960785,1.229595532,0.09601528,6.397489024,28.5383,0.9281,3.463305976,0.270438761,7.27605061,36.0789,0.928,8.977797373,0.701048195
127,SJP 081 2000,2000,0.337185705,4.124878785,0.033579497,0.393598859,0.027357012,6.143450725,15.5452,0.9281,2.109438665,0.146616122,3.044261353,8.4687,0.696,1.505899369,0.104667242
128,SJP 081 2001,2001,0.352861455,1.791681632,0.10256722,0.274861687,0.029135281,5.211289888,9.2807,1.3921,1.61697879,0.171399409,3.031879775,6.8445,1.6241,1.037634493,0.109989036
